"affected","implementer","year","flow","value"
"Australia","Argentina","2010","inward",0.0381287788612902
"Brazil","Argentina","2010","inward",0.577347766327029
"Canada","Argentina","2010","inward",0.296638390347269
"China","Argentina","2010","inward",0.690056037446015
"France","Argentina","2010","inward",0.530266415572228
"Germany","Argentina","2010","inward",0.522259589105439
"India","Argentina","2010","inward",0.295931443205194
"Indonesia","Argentina","2010","inward",0.527913829376711
"Italy","Argentina","2010","inward",0.468913155592374
"Japan","Argentina","2010","inward",0.591162061073326
"Mexico","Argentina","2010","inward",0.685264515511887
"Republic of Korea","Argentina","2010","inward",0.580144244798967
"Russia","Argentina","2010","inward",0.0432618681562808
"South Africa","Argentina","2010","inward",0.00474161326705742
"Turkey","Argentina","2010","inward",0.372656135934276
"United Kingdom","Argentina","2010","inward",0.281771828548896
"United States of America","Argentina","2010","inward",0.431461620658683
"World","Argentina","2010","inward",0.493261128091684
"Argentina","Australia","2010","inward",0.0594277199759807
"Brazil","Australia","2010","inward",0.042137160388763
"Canada","Australia","2010","inward",0.0204041272125574
"China","Australia","2010","inward",0.0129904474390572
"France","Australia","2010","inward",0.0529159716588243
"Germany","Australia","2010","inward",0.113697767903112
"India","Australia","2010","inward",0.0198354360036444
"Indonesia","Australia","2010","inward",0.00182998098683266
"Italy","Australia","2010","inward",0.0367064550220759
"Japan","Australia","2010","inward",0.263757958101112
"Mexico","Australia","2010","inward",0.13892139255452
"Republic of Korea","Australia","2010","inward",0.164769006278194
"Russia","Australia","2010","inward",0.00847661095888513
"Saudi Arabia","Australia","2010","inward",0
"South Africa","Australia","2010","inward",0.299198307060828
"Turkey","Australia","2010","inward",0.124210242020161
"United Kingdom","Australia","2010","inward",0.0508984703330602
"United States of America","Australia","2010","inward",0.050776640016911
"World","Australia","2010","inward",0.072480675226041
"Argentina","Brazil","2010","inward",0.00979013399924105
"Australia","Brazil","2010","inward",1.43455037072633e-05
"Canada","Brazil","2010","inward",0.00311167557029329
"China","Brazil","2010","inward",0.1067984968604
"France","Brazil","2010","inward",0.0115487372627148
"Germany","Brazil","2010","inward",0.0209751919729486
"India","Brazil","2010","inward",0.0752188551921782
"Indonesia","Brazil","2010","inward",0.325529079751623
"Italy","Brazil","2010","inward",0.0204722148328635
"Japan","Brazil","2010","inward",0.0425597700481279
"Mexico","Brazil","2010","inward",0.0229010231710831
"Republic of Korea","Brazil","2010","inward",0.0575939433730156
"Russia","Brazil","2010","inward",0.00266226360224379
"Saudi Arabia","Brazil","2010","inward",0
"South Africa","Brazil","2010","inward",0.0476133725816425
"Turkey","Brazil","2010","inward",0.00891209531706832
